Name,Beer Name (Full),ABV
Dark Island Reserve,Orkney Brewery Dark Island Reserve,"0,10"
Caledonian 80/-,The Caledonian Brewing Company Caledonian 80/-,"0,04"
MacPelican's Scottish Style Ale,Pelican Pub & Brewery MacPelican's Scottish Style Ale,"0,05"
Lia Fail,"Inveralmond Brewery Ltd., The Lia Fail","0,05"
Scottish Ale,Gritty McDuff's Brewing Company Gritty McDuff's Scottish Ale,"0,06"
Black Douglas Ale,Broughton Ales Ltd Black Douglas Ale,"0,05"
Olde Ore Dock Scottish Ale,Keweenaw Brewing Company Olde Ore Dock Scottish Ale,"0,05"
Piper Down - Bourbon Barrel-Aged,Ballast Point Brewing Company Piper Down Scottish Ale (Bourbon Barrel Aged),"0,06"
80/- (Eighty Shilling),Williams Brothers Brewing Company 80/- (Eighty Shilling),"0,04"
Scottish Ale,Fearless Brewing Company Scottish Ale,"0,05"
Hog's Head Brew (Harry Potter),Florida Beer Company Hog's Head Brew (Harry Potter),"0,06"
Java Mac,Sun King Brewing Company Java Mac,"0,05"
Bold Coast Pemaquid Ale,Sheepscot Valley Brewing Company Pemaquid Ale,"0,04"
Beltaine Scottish Ale,Shoreline Brewery And Restaurant Beltaine Scottish Ale,"0,05"
Skye Black,Isle Of Skye Brewery Black Cuillin,"0,05"
Fore Smoked Stout,Dark Horse Brewing Company Dark Horse Fore Smoked Stout,"0,07"
Sue,Yazoo Brewing Company Sue,"0,09"
Smoking Wood - Bourbon Barrel-Aged,The Bruery Smoking Wood Rye Barrel Aged,"0,13"
Ashtray Heart,Evil Twin Brewing Evil Twin Ashtray Heart,"0,09"
Norwegian Wood,HaandBryggeriet Norwegian Wood,"0,07"
Sunturnbrew,Nøgne Ø - Det Kompromissløse Bryggeri A/S Sunturnbrew,"0,11"
Charkoota Rye,New Holland Brewing Company Charkoota Rye,"0,08"
Holger Danske (with Kissmeyer),Hill Farmstead Brewery Holger Danske,"0,08"
Hemel & Aarde,Brouwerij De Molen Hemel & Aarde,"0,10"
Bar Fly,Midnight Sun Brewing Co. Bar Fly,"0,12"
Hank On Rye,Three Floyds Brewing Co. & Brewpub Ham On Rye,"0,06"
Grodziskie,Professor Fritz Briem Professor Fritz Briem Grodziskie,"0,04"
"Bloed, Zweet & Tranen","Brouwerij De Molen Bloed, Zweet & Tranen","0,08"
LA-31 Boucanèe,Bayou Teche Brewery LA-31 Boucanèe,"0,05"
Rook & Vuur,Brouwerij De Molen Rook & Vuur,"0,08"
Charbonniere,Brasserie Dieu Du Ciel Charbonniere,"0,05"
White Birch Tavern Ale,White Birch Brewing White Birch Tavern Ale,"0,08"
Simple Malt Double Porter,Brasseurs Illimités Simple Malt Double Porter,"0,06"
Adelscott,Brasserie Fischer / Fischer Biere d' Alsace Adelscott,"0,06"
Rökporter,the Nils Oscar Company Nils Oscar Rökporter,"0,06"
Rex Attitude,Yeastie Boys Rex Attitude,"0,07"
Hogwash!,Fullsteam Brewery Hogwash!,"0,07"
Bravoure,Brouwerij De Dochter van de Korenaar Bravoure,"0,07"
Hogwash,Jackie O's Pub & Brewery Hogwash,"0,05"
Backyard Ale,Flying Dog Brewery Backyard Ale,"0,08"
Black Cabin Smoked Ale,Crown Valley Brewing & Distilling Co. Black Cabin Smoked Ale,"0,06"
Wild Fire Wheat,Bootlegger's Brewery Wild Fire Wheat,"0,05"
Smoaktoberfest,Live Oak Brewing Company Live Oak Oaktoberfest,"0,06"
Festina Pêche,Dogfish Head Brewery Festina Pêche,"0,05"
1809,Professor Fritz Briem Professor Fritz Briem 1809 Berliner Weisse,"0,05"
Deesko!,Three Floyds Brewing Co. & Brewpub Deesko,"0,07"
Tartare,Bear Republic Brewing Co. Tartare,"0,04"
Berliner Weisse,White Birch Brewing White Birch Berliner Weisse,"0,06"
Berliner Style Weisse,Gasthaus & Gosebrauerei Bayerischer Bahnhof Berliner Style Weisse,"0,03"
Sour Wench,Ballast Point Brewing Company Sour Wench Blackberry Ale,"0,07"
Berliner Kindl Weisse,Berliner Kindl Brauerei Berliner Kindl Weisse,"0,03"
Berliner Weisse,Jackie O's Pub & Brewery Berliner Weiss,"0,06"
Ching Ching,Bend Brewing Company Ching Ching,"0,05"
La Folie,New Belgium Brewing La Folie,"0,07"
Monk's Café Flemish Sour Ale,Brouwerij Van Steenberge N.V. Monk's Café Flemish Sour Ale,"0,06"
The Dissident,Deschutes Brewery The Dissident,"0,11"
Goudenband,Brouwerij Liefmans Goudenband,"0,08"
Madame Rose,Goose Island Beer Co. Madame Rose,"0,07"
Rosso E Marrone,Captain Lawrence Brewing Co. Rosso E Marrone,"0,10"
Bacchus,Brouwerij Van Honsebrouck N.V. Bacchus,"0,05"
Haandbakk,HaandBryggeriet Haandbakk,"0,09"
Cuvee Freddy,Picobrouwerij Alvinne / Den Bierzolder Cuvee Freddy,"0,08"
Cherry Oud Bruin,Kuhnhenn Brewing Company Kuhnhenn Cherry Olde Brune,"0,11"
Aardmonnik - Earthmonk,De Struise Brouwers Aardmonnik - Earthmonk,"0,08"
Madamin,LoverBeer Madamin,"0,06"
Grande Dame Oud Bruin,Brasserie Trois Dames Grande Dame Oud Bruin,"0,07"
Old Growth,Trinity Brewing Company Old Growth,"0,06"
Undressed,Picobrouwerij Alvinne / Den Bierzolder Wild Undressed,"0,07"
Oud Bruin Belgian Style Ale,Grand Teton Brewing Co. Oud Bruin,"0,06"
Chunga's Old Bruin,Jackie O's Pub & Brewery Chunga's Old Bruin,"0,09"
SoBro,Three Floyds Brewing Co. & Brewpub SoBro,"0,06"
Oud Bruin,Brouwerij Liefmans Oud Bruin,"0,05"
Le Serpent,Snake River Brewing Company & Brewpub Le Serpent,"0,08"
Duchesse De Bourgogne,Brouwerij Verhaeghe Duchesse De Bourgogne,"0,06"
Rodenbach Grand Cru,Brouwerij Rodenbach N.V. Rodenbach Grand Cru,"0,06"
Cuvée Des Jacobins Rouge,Brouwerij Bockor N.V. Cuvee Des Jacobins Rouge,"0,06"
Red Poppy,The Lost Abbey Double Red Poppy,"0,07"
La Roja,Jolly Pumpkin Artisan Ales La Roja,"0,07"
Rodenbach Classic (Red),Brouwerij Rodenbach N.V. Rodenbach Classic (Red),"0,05"
Rodenbach Caractère Rouge,Brouwerij Rodenbach N.V. Rodenbach Caractère Rouge,"0,07"
Cascade Kriek Ale,Cascade Brewing / Raccoon Lodge & Brewpub Cascade Kriek Ale,"0,08"
Rodenbach Alexander,Brouwerij Rodenbach N.V. Alexander Rodenbach,"0,06"
Ichtegem's Grand Cru,Brouwerij Strubbe Ichtegem's Grand Cru,"0,07"
Barriquée (Sour Version),Panil Barriquée (Sour Version),"0,08"
Vichtenaar,Brouwerij Verhaeghe Vichtenaar,"0,05"
Verhaeghe Echte Kriek / Echte Kriekenbier,Brouwerij Verhaeghe Verhaeghe Echte Kriek / Echte Kriekenbier,"0,07"
Zoetzuur Flemish AleDe Proefbrouwerij (bvba Andelot),De Proefbrouwerij (bvba Andelot) Zoetzuur Flemish Ale,"0,07"
Michael,Hair of the Dog Brewing Company / Brewery and Tasting Room Michael,"0,06"
La Roja - Grand Reserve,Jolly Pumpkin Artisan Ales La Roja - Grand Reserve,"0,08"
La Roja Du Kriek,Jolly Pumpkin Artisan Ales Roja De Kriek,"0,08"
Barriquée (Italy Version),Panil Barriquée (Italy Version),"0,08"
Kriek Des Jacobins,Brouwerij Bockor N.V. Jacobins Kriek,"0,05"
La Luna Rossa,Birrificio Del Ducato La Luna Rossa,"0,08"
Rodenbach Foederbier,Brouwerij Rodenbach N.V. Rodenbach Foederbier,"0,06"
Ned,Alpine Beer Company Ned,"0,05"
Portsmouth Flanders Red - Maude,Portsmouth Brewery Portsmouth Flanders Red - Maude,"0,05"
Tulach Leis,The Vermont Pub & Brewery Tulach Leis,"0,06"
Leipziger Gose,Gasthaus & Gosebrauerei Bayerischer Bahnhof Leipziger Gose,"0,05"
Gose,Upright Brewing Company Gose,"0,05"
Imperial Cherry Gose,Southern Tier Brewing Company Imperial Cherry Saison,"0,08"
KBS (Kentucky Breakfast Stout),Founders Brewing Company Founders KBS (Kentucky Breakfast Stout),"0,12"
Bourbon County Brand Stout,Goose Island Beer Co. Bourbon County Brand Stout,"0,15"
Ten FIDY,Oskar Blues Grill & Brew Ten FIDY,"0,11"
The Abyss,Deschutes Brewery The Abyss,"0,11"
Bourbon County Brand Coffee Stout,Goose Island Beer Co. Bourbon County Brand Coffee Stout,"0,13"
Speedway Stout,AleSmith Brewing Company AleSmith Speedway Stout,"0,12"
CBS (Canadian Breakfast Stout),Founders Brewing Company Founders CBS Imperial Stout,"0,11"
Storm King Stout,Victory Brewing Company Storm King Stout,"0,09"
Yeti,Great Divide Brewing Company Barrel Aged Yeti,"0,10"
Choklat (Blackwater Series),Southern Tier Brewing Company Choklat,"0,10"
Péché Mortel,Brasserie Dieu Du Ciel Péché Mortel (Bourbon Barrel),"0,10"
World Wide Stout,Dogfish Head Brewery World Wide Stout,"0,18"
Oak Aged Yeti Imperial Stout,Great Divide Brewing Company Oak Aged Yeti Imperial Stout,"0,10"
Cappuccino Stout,Lagunitas Brewing Company Cappuccino Stout,"0,09"
Imperial Biscotti Break,Evil Twin Brewing Evil Twin Biscotti Break,"0,12"
Hunahpu's Imperial Stout,Cigar City Brewing Hunahpu's Imperial Stout,"0,10"
Black Tuesday,The Bruery Black Tuesday,"0,20"
Miles Davis' Bitches Brew,Dogfish Head Brewery Miles Davis' Bitches Brew,"0,09"
Espresso Oak Aged Yeti Imperial Stout,Great Divide Brewing Company Espresso Oak Aged Yeti Imperial Stout,"0,10"
Warlock,Southern Tier Brewing Company Warlock,"0,09"
Chocolate Oak Aged Yeti,Great Divide Brewing Company Chocolate Oak Aged Yeti,"0,10"
Double Stout,Green Flash Brewing Co. Double Stout,"0,09"
Abraxas,Perennial Artisan Ales Abraxas,"0,12"
Beer Geek Brunch Weasel,Mikkeller ApS Beer Geek Brunch Weasel,"0,11"
Chocolate Rain,The Bruery Chocolate Rain,"0,20"
Brewer's Reserve Bourbon Barrel Stout,Central Waters Brewing Company Brewer's Reserve Bourbon Barrel Stout,"0,11"
Dark Truth,Boulevard Brewing Co. Dark Truth Stout,"0,10"
Big Bear Black Stout,Bear Republic Brewing Co. Big Bear Black Stout,"0,08"
Mokah,Southern Tier Brewing Company Mokah,"0,10"
Speedway Stout - Bourbon Barrel-Aged,AleSmith Brewing Company AleSmith Speedway Stout - Barrel Aged,"0,12"
Ten FIDY - Bourbon Barrel Aged,Oskar Blues Grill & Brew Ten Fidy (Oak-Aged),"0,13"
Imperial Eclipse Stout - Elijah Craig (12 Year),FiftyFifty Brewing Co. Imperial Eclipse Stout - Elijah Craig (12 Year),"0,12"
Speedway Stout - Vietnamese Coffee,AleSmith Brewing Company AleSmith Speedway Stout - Vietnamese Coffee,"0,12"
Bourbon County Brand Vanilla Stout,Goose Island Beer Co. Bourbon County Brand Vanilla Stout,"0,15"
Chocolate Stout,Rogue Ales Chocolate Stout,"0,06"
Obsidian Stout,Deschutes Brewery Obsidian Stout,"0,06"
Stout,Sierra Nevada Brewing Co. Sierra Nevada Stout,"0,06"
Chicory Stout,Dogfish Head Brewery Chicory Stout,"0,05"
Mean Old Tom,Maine Beer Company Mean Old Tom,"0,07"
Tres Blueberry Stout,Dark Horse Brewing Company Dark Horse Tres Blueberry Stout,"0,08"
Aphrodisiaque,Brasserie Dieu Du Ciel Aphrodisiaque,"0,07"
Out Of Bounds Stout,Avery Brewing Company Out Of Bounds Stout,"0,06"
Black Mocha Stout,Highland Brewing Highland Black Mocha Stout,"0,05"
Fuel Cafe (Coffee Flavored Stout),"Lakefront Brewery, Inc. Fuel Cafe (Coffee Flavored Stout)","0,06"
Coffee Stout,New Glarus Brewing Company Coffee Stout,"0,06"
Brewhouse Coffee Stout,Central Waters Brewing Company Brewhouse Coffee Stout,"0,07"
Chocolate Stout,Harpoon Brewery Harpoon Chocolate Stout,"0,06"
Cocoa Loco,Arcadia Brewing Company Arcadia Cocoa Loco,"0,07"
Bison Organic Chocolate Stout,Bison Brewing Bison Organic Chocolate Stout,"0,05"
Rise Up Coffee Stout,Evolution Craft Brewing Company Rise Up Stout,"0,07"
Captain Stout,Alpine Beer Company Captain Stout,"0,06"
Luna Coffee Stout,Hinterland Brewery Restaurant Luna Coffee Stout,"0,06"
Blue Bridge Coffee Stout,Coronado Brewing Company Blue Bridge Coffee Stout,"0,05"
Valdez,Pisgah Brewing Co. Pisgah Valdez,"0,06"
CEO Stout,Right Brain Brewery CEO Stout,"0,06"
Irish Channel StoutNew Orleans Lager & Ale Brewing Company (NOLA),New Orleans Lager & Ale Brewing Company (NOLA) Irish Channel Stout,"0,07"
"Survival ""7-Grain"" Stout","Hopworks Urban Brewery Survival ""7-Grain"" Stout","0,05"
Crème Brûlée Java Stout,Kuhnhenn Brewing Company Kuhnhenn Crème Brûlée Java Stout,"0,06"
Black Phoenix (Chipotle Coffee Ale),Bootlegger's Brewery Black Phoenix (Chipotle Coffee Ale),"0,07"
Java The Stout,Jackie O's Pub & Brewery Java The Stout,"0,07"
Hickory Stick Stout,Olde Hickory Brewery Hickory Stick Stout,"0,06"
Planet Bean,Spring House Brewing Company Planet Bean Coffee Stout,"0,07"
Naked Fish,DuClaw Brewing Company Naked Fish,"0,05"
Heart Of Darkness,Magic Hat Brewing Company Heart Of Darkness,"0,06"
Scottish Stout,Belhaven Brewery Company Ltd. Belhaven Scottish Stout,"0,07"
Dragonhead Stout,Orkney Brewery Dragonhead Stout,"0,04"
Monk's Stout Dupont,Brasserie Dupont sprl Monk's Stout Dupont,"0,05"
Echigo Stout,Uehara Shuzou Co. Ltd. / Echigo Beer Pub Echigo Stout,"0,07"
Double Stout,Hook Norton Brewery Co. Ltd. Double Stout,"0,05"
Dorothy Goodbody's Wholesome Stout,Wye Valley Brewery Dorothy Goodbody's Wholesome Stout,"0,05"
Strike Out Stout,Cooperstown Brewing Company Strike Out Stout,"0,05"
Bad King John,Ridgeway Brewing Bad King John,"0,06"
Rosie Parks Oyster Stout,Fordham Brewing Company Oyster Stout,"0,05"
Hopback Entire Stout,Hop Back Brewery plc Hopback Entire Stout,"0,05"
Double Stout (2012- ),Shepherd Neame Ltd Double Stout,"0,05"
Blackheart Stout,"Middle Ages Brewing Co., Ltd. Blackheart Stout","0,07"
March Of The Penguins,Williams Brothers Brewing Company March Of The Penguins,"0,05"
Maple Stout,Cannery Brewing Company Maple Stout,"0,06"
Boréale Noire,Brasseurs Du Nord Inc. Boréale Noire,"0,06"
London Stout,Meantime Brewing Company Limited London Stout,"0,05"
Dark Arts,Magic Rock Brewing Dark Arts,"0,06"
Extra StoutSamuel Smith Old Brewery (Tadcaster),Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Old Brewery Extra Stout,"0,05"
Bonecrusher Stout,Schmohz Brewing Company Bonecrusher Stout,"0,06"
Martello Stout,Garrison Brewing Company Martello Stout,"0,05"
Woody Stout,Lost Rhino Brewing Company Woody Stout,"0,07"
Pemaquid Oyster Stout,Marshall Wharf Brewing Company / Three Tides Restaurant Pemaquid Oyster Stout,"0,06"
McCallum's Stout,Belhaven Brewery Company Ltd. Belhaven McCallum's Stout,"0,04"
Potro,Cervecera Mexicana S.A. De C.V. Potro,"0,05"
Black Creek Stout,Black Creek Historic Brewery Black Creek Stout,"0,05"
Black,Lancaster Brewery Company Ltd Black,"0,05"
Titanic Stout,Titanic Brewery Titanic Stout,"0,05"
Guinness Foreign Extra Stout,Guinness Ltd. Guinness Foreign Extra Stout,"0,08"
Lion Stout,Ceylon / Lion Brewery Limited Lion Stout,"0,09"
Indra Kunindra,Ballast Point Brewing Company Indra Kunindra,"0,07"
Fade To Black - Volume 1,Left Hand Brewing Company Fade To Black Volume 1 - Foreign Export Stout,"0,09"
Best Extra Stout,Coopers Brewery Limited Coopers Best Extra Stout,"0,06"
Lump Of Coal Dark Holiday Stout,Ridgeway Brewing Lump Of Coal,"0,08"
Extra Export Stout,Brouwerij De Dolle Brouwers De Dolle Extra Export Stout,"0,09"
Zonker Stout,Snake River Brewing Company & Brewpub Snake River Zonker Stout,"0,06"
Dragon Stout,Desnoes & Geddes Limited Dragon Stout,"0,08"
Tsunami Stout,Pelican Pub & Brewery Tsunami Stout,"0,07"
Malpais Stout,La Cumbre Brewing Co. Malpais Stout,"0,08"
Exit 1 Bayshore Oyster Stout.,Flying Fish Brewing Company Exit 1,"0,08"
Captain Swain's Extra Stout,Cisco Brewers Inc. Captain Swain's Extra Stout,"0,08"
Dissent,Steel Toe Brewing Dissent,"0,07"
San Quentin's Breakout Stout,Marin Brewing Company San Quentin Breakout Stout,"0,07"
Foreign Style Stout,Upslope Brewing Company Stout,"0,07"
Export Stout London 1890,The Kernel Brewery Export Stout,"0,07"
Cazeau Tournay Noire,Brasserie De Cazeau Cazeau Tournay Noire,"0,08"
Square Tail Stout,Moat Mountain Smoke House & Brewing Co. Moat Stout,"0,06"
Foreign Export Stout,Ridgeway Brewing Foreign Export Stout,"0,08"
Hakim Stout,Harar Beer Factory Hakim Stout,"0,06"
Oesterstout,Scheldebrouwerij Oesterstout,"0,09"
Black Magic Stout,Oggi's Pizza & Brewing Co. Black Magic Stout,"0,08"
Hot Blooded Foreign Stout,Cigar City Brewing Hot Blooded Foreign Stout,"0,07"
Extra Stout,Zero Gravity Craft Brewery / American Flatbread Extra Stout,"0,06"
Extra Stout,Jopen Bier BV Haarlem Jopen Extra Stout,"0,06"
Jamaica Stout,Big City Brewing CO LTD Jamaica Stout,"0,08"
Black Rock Stout,Crossroads Brewing Company Black Rock Stout,"0,07"
Bulls Bay Oyster Stout,COAST Brewing Company Bulls Bay Oyster Stout,"0,06"
Strong Back Stout,Bahamian Brewery Beverage & Co. Ltd. Strong Back Stout,"0,08"
Guinness Foreign Extra Stout (Africa),Guinness Nigeria PLC Guinness Foreign Extra Stout (Africa),"0,08"
Foreign Export Stout,Kuhnhenn Brewing Company Kuhnhenn Foreign Export Stout,"0,07"
Cascade Stout,Cascade Brewery Company Ltd. Cascade Export Stout,"0,06"
Tsingtao Stout,"Tsingtao Brewery Co., Ltd. Tsingtao Stout","0,08"
Starkweather Stout,Liberty Street Brewing Company Starkweather Stout,"0,06"
Ceres Royal Stout (Ceres Extra Strong Stout)Ceres Brewery (Royal Unibrew),Ceres Brewery (Royal Unibrew) Ceres Royal Stout (Ceres Extra Strong Stout),"0,08"
Guinness Draught,Guinness Ltd. Guinness Draught,"0,04"
Guinness Extra Stout (Original),Guinness Ltd. Guinness Extra Stout (Original),"0,06"
Murphy's Irish Stout,Murphy Brewery Ireland Limited Murphy's Irish Stout,"0,04"
Old #38 Stout,North Coast Brewing Co. Old #38 Stout,"0,05"
O'Hara's Irish Stout,Carlow Brewing Company O'Hara's Irish Stout,"0,04"
Black Sun Stout,Three Floyds Brewing Co. & Brewpub Black Sun Stout,"0,07"
Beamish Irish Stout,Beamish & Crawford Plc. Beamish Irish Stout,"0,04"
Black Hawk Stout,Mendocino Brewing Company Black Hawk Stout,"0,05"
Dry Irish Stout,Brooklyn Brewery Brooklyn Dry Stout,"0,05"
Love Stout,Yards Brewing Co. Love Stout,"0,06"
Blue Fin Stout,Shipyard Brewing Co. Blue Fin Stout,"0,05"
Guinness Draught Extra Cold,Guinness Ltd. Guinness Draught Extra Cold,"0,04"
Donnybrook Stout,Victory Brewing Company Donnybrook Stout,"0,04"
Dark Starr Stout,Starr Hill Brewery Dark Starr Stout,"0,04"
O.V.L. Stout,Russian River Brewing Company O.V.L. Stout,"0,04"
Oyster Stout,The Porterhouse Brewing Company Oyster Stout,"0,05"
Black Fly Stout,Gritty McDuff's Brewing Company Gritty McDuff's Black Fly Stout,"0,04"
Dragoon's Irish Dry Stout,Moylan's Brewery Moylans Dragoons Dry Irish Stout,"0,04"
Dry Stout,Boulevard Brewing Co. Dry Stout,"0,05"
Guinness Extra Stout (Canada),Guinness Ltd. Guinness Extra Stout (Canada),"0,05"
Black Cab,Fuller Smith & Turner PLC Black Cab,"0,05"
Uncle Steve's Irish Stout,Short's Brewing Company Short's Uncle Steve's Irish Stout,"0,06"
Wrasslers XXXX Stout,The Porterhouse Brewing Company Wrasslers XXXX Stout,"0,05"
Cobblestone Stout,Mill Street Brew Pub Mill Street Cobblestone Stout,"0,04"
O'Reilly's Irish Stout,Sly Fox Brewing Company O'Reilly's Irish Stout,"0,04"
Saranac Irish Stout,Matt Brewing Company Saranac Irish Stout,"0,06"
Stouterik (The Brussels Stout),Brasserie de la Senne Stouterik,"0,05"
Portsmouth Black Cat Stout,Portsmouth Brewery Portsmouth Black Cat Stout,"0,06"
O'Hara's Leann Folláin,Carlow Brewing Company O'Hara's Leann Folláin,"0,06"
Three Feet Deep,Furthermore Beer Three Feet Deep,"0,06"
Plain Porter,The Porterhouse Brewing Company Plain Porter,"0,05"
Hillsborough River Dry Irish Stout (Patio Tools),Cigar City Brewing Hillsborough River Dry Stout (Patio Tools) - Cedar Aged (Humidor Series),"0,06"
Susquehanna Stout,Appalachian Brewing Company Susquehanna Stout,"0,05"
Irish Style Stout,Sprecher Brewing Company Irish Style Stout,"0,06"
La Sang-d'encre,Le Trou Du Diable La Sang-d'encre,"0,06"
Celebration Stout,The Porterhouse Brewing Company Celebration Stout,"0,07"
Black Magic Stout,Empire Brewing Company Black Magic Stout,"0,05"
Patio Tools,Cigar City Brewing Hillsborough River Dry Stout (Patio Tools),"0,05"
Friend Of An Irishman Stout,Christian Moerlein Brewing Company Friend Of An Irishman Stout,"0,05"
Guinness Original,Guinness Ltd. Guinness Original,"0,05"
Ring Of Dingle,Sun King Brewing Company Ring Of Dingle Irish Stout,"0,05"
Revelation Stout,Public House Brewing Company Revalations Stout,"0,05"
Breakfast Stout,Founders Brewing Company Founders Breakfast Stout,"0,08"
Oatmeal StoutSamuel Smith Old Brewery (Tadcaster),Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Oatmeal Stout,"0,05"
Wake-n-Bake Coffee Oatmeal Imperial Stout,Terrapin Beer Company Terrapin Coffee Oatmeal Imperial Stout,"0,09"
Shakespeare Oatmeal Stout,Rogue Ales Shakespeare Oatmeal Stout,"0,06"
Velvet Merkin,Firestone Walker Brewing Co. Velvet Merlin (Merkin),"0,08"
Beer Geek Breakfast,Mikkeller ApS Beer Geek Breakfast,"0,08"
Barney Flats Oatmeal Stout,Anderson Valley Brewing Company Barney Flats Oatmeal Stout,"0,06"
The Poet,New Holland Brewing Company New Holland The Poet,"0,05"
Java Head Stout,Tröegs Brewing Company Tröegs Java Head Stout,"0,08"
B.O.R.I.S. Oatmeal Imperial Stout - Barrel-Aged,Hoppin' Frog Brewery Barrel Aged B.O.R.I.S. Oatmeal Imperial Stout,"0,09"
Oatmeal Stout,Breckenridge Brewery Oatmeal Stout,"0,05"
St-Ambroise Oatmeal Stout,McAuslan Brewing St-Ambroise Oatmeal Stout,"0,05"
Oatmeal Stout,Founders Brewing Company Founders Oatmeal Stout,"0,05"
8 Ball Stout,Lost Coast Brewery and Cafe 8 Ball Stout,"0,06"
One Oatmeal Stout,Dark Horse Brewing Company Dark Horse One Oatmeal Stout Ale,"0,07"
Dragonstooth Stout,Elysian Brewing Company Dragon's Tooth Oatmeal Stout,"0,08"
Ipswich Oatmeal Stout,Ipswich Ale Brewery Ipswich Oatmeal Stout,"0,07"
Trader Joe's Stockyard Oatmeal Stout,Trader Joe's Brewing Company Trader Joe's Stockyard Oatmeal Stout,"0,05"
Oatis,Ninkasi Brewing Company Oatis,"0,07"
Earl Coffee Oatmeal Stout,Hill Farmstead Brewery Earl Oatmeal Coffee Stout,"0,07"
Vanilla Oatis,Ninkasi Brewing Company Vanilla Oatis,"0,07"
Beer Geek Bacon,Mikkeller ApS Beer Geek Bacon,"0,08"
Oatmeal Stout,Goose Island Beer Co. Oatmeal Stout,"0,05"
Buffalo Bill's Blueberry Oatmeal Stout,Buffalo Bill's Brewery Buffalo Bill's Blueberry Oatmeal Stout,"0,08"
Obovoid,Boulder Beer / Wilderness Pub Bourbon Barrel Obovoid,"0,08"
Convict Hill Oatmeal Stout,Independence Brewing Co. Convict Hill Oatmeal Stout,"0,08"
Ohio City Oatmeal Stout,Great Lakes Brewing Company Great Lakes Ohio City Oatmeal Stout,"0,05"
Coffee Oatmeal Stout,Good People Brewing Company Coffee Oatmeal Stout,"0,06"
Stout,Alaskan Brewing Co. Alaskan Stout,"0,06"
Oatmeal Stout,Summit Brewing Company Summit Oatmeal Stout,"0,05"
Overcast Espresso Stout,Oakshire Brewing Overcast Espresso Stout,"0,06"
Dark Star,Fremont Brewing Company Dark Star Oatmeal Stout,"0,08"
Down 'N Dirty Chocolate Oatmeal Stout,Tyranena Brewing Company Down 'N Dirty Chocolate Oatmeal Stout,"0,06"
Old Rasputin,North Coast Brewing Co. Old Rasputin XI,"0,09"
Parabola,Firestone Walker Brewing Co. Parabola,"0,13"
Black Chocolate Stout,Brooklyn Brewery Brooklyn Black Chocolate Stout,"0,10"
Narwhal Imperial Stout,Sierra Nevada Brewing Co. Sierra Nevada Imperial Stout,"0,10"
Dark Lord Imperial Stout,Three Floyds Brewing Co. & Brewpub Dark Lord Imperial Stout,"0,15"
Darkness,Surly Brewing Company Darkness,"0,12"
Plead The 5th Imperial Stout,Dark Horse Brewing Company Plead The 5th Imperial Stout,"0,11"
Imperial StoutSamuel Smith Old Brewery (Tadcaster),Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Imperial Stout,"0,07"
Blackout Stout,Great Lakes Brewing Company Great Lakes Blackout Stout,"0,10"
Bourbon Barrel Aged Plead The 5th,Dark Horse Brewing Company Dark Horse Bourbon Barrel Aged Plead The 5th,"0,12"
Marshal Zhukov's Imperial Stout,Cigar City Brewing Marshal Zhukov's Imperial Stout,"0,12"
B.O.R.I.S. The Crusher,Hoppin' Frog Brewery B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,"0,09"
Black OPS,Brooklyn Brewery Brooklyn Black OPS,"0,12"
Imperial Stout,Lagunitas Brewing Company Black Rain Imperial Stout,"0,10"
Siberian Night Imperial Stout,Thirsty Dog Brewing Company Siberian Night Imperial Stout,"0,10"
Blackout Stout - Barrel-Aged,Great Lakes Brewing Company Great Lakes Barrel-Aged Blackout Stout,"0,10"
Black Albert,De Struise Brouwers Black Albert,"0,13"
Blaecorn Unidragon,Clown Shoes Blaecorn Unidragon,"0,12"
Samuel Adams Imperial StoutBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Imperial Stout,"0,09"
Peg Leg Imperial Stout,Heavy Seas Beer Heavy Seas - Peg Leg (Imperial Stout),"0,08"
Sexual Chocolate,Foothills Brewing Company Sexual Chocolate,"0,10"
D.O.R.I.S. The Destroyer,Hoppin' Frog Brewery D.O.R.I.S. The Destroyer Double Imperial Stout,"0,11"
Imperial Stout Trooper,New England Brewing Co. Imperial Stout Trooper,"0,09"
Imperial Stout,Rogue Ales Imperial Stout,"0,11"
Sexual Chocolate - Barrel-Aged,Foothills Brewing Company Barrel Aged Sexual Chocolate,"0,10"
Smuttynose Imperial Stout (Big Beer Series),Smuttynose Brewing Company Smuttynose Imperial Stout (Big Beer Series),"0,11"
Bourbon Barrel Aged Siberian Night Imperial Stout,Thirsty Dog Brewing Company Bourbon Barrel Aged Siberian Night,"0,11"
Dark Apparition,Jackie O's Pub & Brewery Dark Apparition,"0,11"
Wake Up Dead,Left Hand Brewing Company Wake Up Dead,"0,10"
Northwind,Two Brothers Brewing Company Northwind Imperial Stout,"0,09"
BBADL (Bourbon Barrel Aged Dark Lord Imperial Stout),Three Floyds Brewing Co. & Brewpub Oak Aged Dark Lord Imperial Stout,"0,15"
Black Metal Farmhouse Imperial Stout,Jester King Craft Brewery Black Metal Imperial Stout,"0,09"
